repo,stars,language,archived,dependencies,status
jaegertracing/jaeger,18175,Go,false,71,Graduated
virtual-kubelet/virtual-kubelet,3901,Go,false,30,Sandbox
cni-genie/CNI-Genie,511,Go,false,0,Sandbox
kubevela/kubevela,5549,Go,false,92,Incubating
oras-project/oras,1045,Go,false,9,Sandbox
containerd/containerd,14696,Go,false,74,Graduated
schemahero/schemahero,836,Go,false,24,Sandbox
tinkerbell/tink,801,Go,false,31,Sandbox
foniod/foniod,405,Rust,true,0,Sandbox
kuberhealthy/kuberhealthy,1763,Go,false,17,Sandbox
kubedl-io/kubedl,437,Go,false,37,Sandbox
keylime/keylime,345,Python,false,0,Sandbox
openebs/openebs,8285,,false,0,Sandbox
openyurtio/openyurt,1519,Go,false,45,Sandbox
openkruise/kruise,4048,Go,false,39,Incubating
submariner-io/submariner,2196,Go,false,25,Sandbox
meshery/meshery,2898,Go,false,59,Sandbox
opencurve/curve,1998,C++,false,0,Sandbox
ContainerSSH/ContainerSSH,2388,Go,false,5,Sandbox
opentracing/opentracing-go,3481,Go,true,1,Archived
ko-build/ko,6286,Go,false,18,Sandbox
hwameistor/hwameistor,428,Go,false,40,Sandbox
carina-io/carina,625,Go,false,28,Sandbox
clusterpedia-io/clusterpedia,646,Go,false,35,Sandbox
cloud-custodian/cloud-custodian,4923,Python,false,0,Incubating
chaos-mesh/chaos-mesh,5909,Go,false,84,Incubating
kubeovn/kube-ovn,1651,Go,false,49,Sandbox
k8up-io/k8up,444,Go,false,18,Sandbox
devstream-io/devstream,808,Go,false,7,Sandbox
werf/werf,3744,Go,false,87,Sandbox
kubescape/kubescape,8810,Go,false,50,Sandbox
kedacore/keda,6743,Go,false,86,Graduated
crossplane/crossplane,7416,Go,false,29,Incubating
cortexproject/cortex,5175,Go,false,73,Incubating
servicemeshinterface/smi-spec,1043,Makefile,false,0,Sandbox
tremor-rs/tremor-runtime,768,Rust,false,0,Sandbox
v6d-io/v6d,739,C++,false,0,Sandbox
inspektor-gadget/inspektor-gadget,1532,C,false,0,Sandbox
fluxcd/flux2,5219,Go,false,53,Graduated
kumahq/kuma,3276,Go,false,83,Sandbox
openservicemesh/osm,2589,Go,true,62,Archived
fluid-cloudnative/fluid,1382,Go,false,32,Sandbox
paralus/paralus,817,Go,false,48,Sandbox
rkt/rkt,8842,Go,true,0,Archived
cert-manager/cert-manager,10655,Go,false,46,Incubating
opcr-io/policy,168,Go,false,25,Sandbox
getsops/sops,13642,Go,false,40,Sandbox
open-policy-agent/opa,8384,Go,false,41,Graduated
theupdateframework/python-tuf,1534,Python,false,0,Graduated
cubefs/cubefs,3609,Go,false,39,Incubating
argoproj/argo-cd,13939,Go,false,101,Graduated
trickstercache/trickster,1902,Go,false,24,Sandbox
metallb/metallb,6032,Go,false,22,Sandbox
hexa-org/policy-orchestrator,72,Go,false,29,Sandbox
istio/istio,33571,Go,false,115,Graduated
containernetworking/cni,5002,Go,false,3,Incubating
kubeclipper/kubeclipper,216,Go,false,60,Sandbox
open-telemetry/opentelemetry-java,1622,Java,false,0,Incubating
service-mesh-performance/service-mesh-performance,256,Makefile,false,0,Sandbox
kubewarden/kubewarden-controller,140,Go,false,14,Sandbox
brigadecore/brigade,2384,Go,false,0,Archived
WasmEdge/WasmEdge,6544,C++,false,0,Sandbox
inclavare-containers/inclavare-containers,553,C,false,0,Sandbox
tellerops/teller,1820,Go,false,42,Sandbox
buildpacks/pack,2112,Go,false,35,Incubating
cloudevents/spec,4318,Python,false,0,Incubating
serverlessworkflow/specification,616,Makefile,false,0,Sandbox
backstage/backstage,23034,TypeScript,false,0,Incubating
emissary-ingress/emissary,4141,Python,false,0,Incubating
antrea-io/antrea,1516,Go,false,79,Sandbox
opencost/opencost,4049,Go,false,57,Sandbox
sustainable-computing-io/kepler,600,Go,false,20,Sandbox
rook/rook,11249,Go,false,37,Graduated
eraser-dev/eraser,240,Go,false,26,Sandbox
strimzi/strimzi-kafka-operator,3996,Java,false,0,Sandbox
distribution/distribution,7790,Go,false,26,Sandbox
superedge/superedge,950,Go,false,37,Sandbox
kubernetes/kubernetes,101217,Go,false,120,Graduated
open-cluster-management-io/api,226,Go,false,19,Sandbox
OpenFunction/OpenFunction,1239,Go,false,17,Sandbox
keycloak/keycloak,17207,Java,false,0,Incubating
kubeedge/kubeedge,5993,Go,false,53,Incubating
networkservicemesh/api,7,Go,false,4,Sandbox
parallaxsecond/parsec,417,Rust,false,0,Sandbox
devfile/api,186,Go,false,13,Sandbox
knative/serving,5087,Go,false,34,Incubating
merbridge/merbridge,659,Go,false,16,Sandbox
xline-kv/Xline,311,Rust,false,0,Sandbox
helm/helm,24864,Go,false,43,Graduated
bfenetworks/bfe,5934,Go,false,28,Sandbox
operator-framework/operator-sdk,6675,Go,false,42,Incubating
external-secrets/external-secrets,3049,Go,false,78,Sandbox
nats-io/nats-server,13441,Go,false,10,Incubating
chaosblade-io/chaosblade,5473,Go,false,15,Sandbox
karmada-io/karmada,3481,Go,false,52,Sandbox
vscode-kubernetes-tools/vscode-kubernetes-tools,623,TypeScript,false,0,Sandbox
sealerio/sealer,1909,Go,false,55,Sandbox
kubereboot/kured,1906,Go,false,14,Sandbox
devspace-cloud/devspace-cloud,95,Open Policy Agent,false,0,Sandbox
getporter/porter,1044,Go,false,64,Sandbox
cncf/tag-app-delivery,637,HTML,false,0,Sandbox
dapr/dapr,21796,Go,false,75,Incubating
fluent/fluentd,12155,Ruby,false,0,Graduated
cdk8s-team/cdk8s,3781,JavaScript,false,0,Sandbox
kube-vip/kube-vip,1411,Go,false,26,Sandbox
confidential-containers/operator,67,Go,false,7,Sandbox
konveyor/tackle2-operator,18,Jinja,false,0,Sandbox
linkerd/linkerd2,9819,Go,false,50,Graduated
openelb/openelb,1409,Go,false,27,Sandbox
kube-rs/kube-rs,2310,Rust,false,0,Sandbox
armadaproject/armada,352,Go,false,80,Sandbox
carvel-dev/ytt,1464,Go,false,11,Sandbox
piraeusdatastore/piraeus-operator,284,Go,false,18,Sandbox
dragonflyoss/Dragonfly2,1553,Go,false,88,Incubating
artifacthub/hub,1349,TypeScript,false,0,Sandbox
metal3-io/baremetal-operator,455,Go,false,19,Sandbox
clastix/capsule,1261,Go,false,17,Sandbox
project-zot/zot,467,Go,false,66,Sandbox
microcks/microcks,922,Java,false,0,Sandbox
grpc/grpc,38810,C++,false,0,Incubating
kudobuilder/kudo,1118,Go,false,29,Sandbox
pravega/pravega,1899,Java,false,0,Sandbox
skooner-k8s/skooner,1144,JavaScript,false,0,Sandbox
krator-rs/krator,132,Rust,false,0,Sandbox
Serverless-Devs/Serverless-Devs,1550,TypeScript,false,0,Sandbox
openfga/openfga,1426,Go,false,40,Sandbox
slimtoolkit/slim,17143,Go,false,34,Sandbox
cri-o/cri-o,4722,Go,false,81,Graduated
kubeflow/kubeflow,12909,TypeScript,false,0,Incubating
curiefense/curiefense,660,Rust,false,0,Sandbox
in-toto/in-toto,752,Python,false,0,Incubating
spiffe/spiffe,1283,Shell,false,0,Graduated
spiffe/spire,1484,Go,false,80,Graduated
tikv/tikv,13502,Rust,false,0,Graduated
falcosecurity/falco,6240,C++,false,0,Incubating
kubevirt/kubevirt,4451,Go,false,81,Incubating
wasmCloud/wasmCloud,993,Rust,false,0,Sandbox
project-akri/akri,990,Rust,false,0,Sandbox
prometheus/prometheus,49665,Go,false,84,Graduated
pipe-cd/pipecd,813,Go,false,54,Sandbox
aeraki-mesh/aeraki,688,Go,false,28,Sandbox
vitessio/vitess,16684,Go,false,87,Graduated
goharbor/harbor,20724,Go,false,0,Graduated
longhorn/longhorn,4958,Shell,false,0,Incubating
volcano-sh/volcano,3282,Go,false,36,Incubating
k8gb-io/k8gb,630,Go,false,20,Sandbox
FabEdge/fabedge,495,Go,false,31,Sandbox
clusternet/clusternet,1210,Go,false,38,Sandbox
coredns/coredns,11007,Go,false,35,Graduated
thanos-io/thanos,12045,Go,false,91,Incubating
dexidp/dex,8378,Go,false,36,Sandbox
telepresenceio/telepresence,5982,Go,false,58,Sandbox
kyverno/kyverno,4319,Go,false,87,Incubating
pixie-io/pixie,4795,C++,false,0,Sandbox
nocalhost/nocalhost,1667,Go,false,82,Sandbox
open-feature/spec,356,Python,false,0,Sandbox
lima-vm/lima,12417,Go,false,43,Sandbox
headlamp-k8s/headlamp,1129,TypeScript,false,0,Sandbox
litmuschaos/litmus,3800,Go,false,0,Incubating
notaryproject/notation,204,Go,false,10,Incubating
keptn/keptn,1787,Go,false,0,Incubating
projectcontour/contour,3485,Go,false,40,Incubating
k3s-io/k3s,24291,Go,false,76,Sandbox
AthenZ/athenz,795,Java,false,0,Sandbox
cilium/cilium,16305,Go,false,118,Incubating
envoyproxy/envoy,22631,C++,false,0,Graduated
etcd-io/etcd,44339,Go,false,21,Graduated
krustlet/krustlet,3475,Rust,false,0,Sandbox
kubearmor/KubeArmor,803,Go,false,0,Sandbox
GoogleContainerTools/kpt,1537,Go,false,35,Sandbox
OpenObservability/OpenMetrics,2133,Go,false,0,Incubating
